0, -23, 1034, 12, 1034, 1, -1, -1, 0, 0, 0
1, -20, 1020, 2, 1020, -1, 0, -3, -1, 0, -4
2, -438, 996, 47, 1089, 1, 9, -1, 3, 22, -8
3, -579, 982, 359, 1196, 10, 73, -1, 28, 204, -12
4, -117, 1094, 918, 1434, -8, 186, -17, 7, 665, -55
5, -58, 1291, 1106, 1701, -4, 248, -8, -3, 1287, -77
6, 334, 1193, 926, 1547, 13, 267, -36, 29, 1954, -168
7, 54, 1327, 1079, 1711, -5, 271, -37, 16, 2627, -262
8, -75, 1242, 776, 1467, -11, 281, -1, -12, 3332, -266
9, -93, 905, 352, 976, 21, 245, -25, 42, 3944, -330
10, -255, 946, 377, 1050, 9, 197, -17, 64, 4439, -375
11, -144, 942, 740, 1207, -4, 170, -7, 54, 4861, -392
12, 267, 1027, 313, 1107, 21, 172, -11, 109, 5292, -421
13, -459, 1197, 374, 1336, 10, 167, -29, 134, 5712, -495
14, -395, 1170, 665, 1403, 11, 197, -41, 163, 6201, -598
15, -223, 1111, 401, 1202, -24, 204, -43, 102, 6708, -705
16, 12, 1098, 408, 1171, -32, 198, -10, 21, 7201, -730
17, -20, 1010, 350, 1069, -17, 157, 5, -22, 7595, -717
18, -27, 1083, 141, 1093, -9, 122, 1, -47, 7899, -714
19, 208, 1088, 22, 1108, -1, 78, 0, -49, 8093, -713
20, 42, 1027, 49, 1029, 2, 27, -9, -42, 8162, -737
21, -46, 1010, 6, 1011, -3, -4, -1, -50, 8152, -742
