0, -42, 965, 217, 990, 21, 9, -8, 1, 0, 0
1, -77, 1085, 57, 1090, 25, 7, -11, 4, 1, -2
2, -72, 1045, 169, 1061, 23, 13, -15, 6, 2, -3
3, -33, 969, 206, 991, 39, 15, -17, 9, 4, -5
4, 46, 1089, 0, 1090, 39, 12, -20, 13, 5, -7
5, -37, 1111, -97, 1116, 15, 7, -26, 14, 6, -10
6, -54, 1066, -20, 1068, -4, 0, -27, 14, 6, -12
7, -57, 1019, 103, 1026, -9, 1, -25, 13, 6, -15
8, 9, 987, 153, 998, 0, 10, -21, 13, 7, -17
9, 2, 1026, 101, 1031, 17, 32, -21, 15, 10, -19
10, -117, 1121, 10, 1127, 14, 42, -25, 16, 15, -22
11, -205, 1125, 42, 1145, -3, 29, -22, 16, 18, -24
12, -205, 1062, 122, 1089, -11, 15, -15, 15, 20, -26
13, -183, 1021, 166, 1051, -7, 8, -9, 14, 20, -27
14, -195, 1020, 185, 1054, 2, 1, -5, 14, 20, -27
15, -152, 1045, 178, 1071, 6, -3, -4, 15, 20, -28
16, -124, 1043, 138, 1060, 11, -5, -6, 16, 20, -28
17, -144, 1074, 77, 1087, 10, -7, -7, 17, 19, -29
18, -167, 1119, 54, 1133, 5, -8, 0, 17, 18, -29
19, -163, 1098, 52, 1111, 0, -12, 7, 17, 17, -28
20, -110, 1036, 57, 1043, -6, -14, 15, 17, 15, -27
21, -44, 1005, 33, 1007, -3, -14, 15, 16, 14, -25
22, -13, 1032, -6, 1032, -9, -14, 13, 16, 12, -24
23, 54, 978, 53, 981, -11, -12, 9, 15, 11, -23
24, 10, 988, 94, 993, -9, -6, 2, 14, 10, -23
25, -58, 1008, 135, 1018, -6, -3, -3, 13, 10, -23
26, -105, 1013, 120, 1026, 1, -2, -4, 13, 10, -24
27, -130, 1068, 46, 1077, 7, 1, -3, 14, 10, -24
28, -169, 1103, 37, 1116, 3, 3, -1, 14, 10, -24
29, -171, 1041, 100, 1059, 1, 3, 0, 14, 11, -24
30, -124, 1047, 73, 1057, 3, 6, 0, 15, 11, -24
31, -153, 1062, 76, 1076, -1, 9, -5, 15, 12, -25
32, -257, 1074, 126, 1112, -1, 11, -6, 14, 13, -25
33, -378, 1085, 163, 1161, 0, 11, 0, 15, 15, -25
34, -357, 1076, 128, 1141, 8, 16, 7, 15, 16, -24
35, -389, 1104, 37, 1171, 14, 30, 12, 17, 19, -23
36, -435, 1125, 11, 1206, 5, 27, 16, 17, 22, -22
37, -385, 1091, 15, 1157, -1, 30, 18, 17, 25, -20
38, -379, 1094, 52, 1159, -3, 48, 9, 17, 30, -19
39, -637, 1076, 210, 1269, -2, 73, -5, 16, 37, -19
40, -894, 1081, 273, 1429, 4, 73, -3, 17, 45, -20
41, -940, 1145, 230, 1500, 9, 65, 10, 18, 51, -18
42, -899, 1174, 202, 1493, 5, 61, 21, 18, 57, -16
43, -900, 1146, 246, 1478, 0, 59, 27, 18, 63, -14
44, -955, 1107, 307, 1494, -2, 58, 33, 18, 69, -10
45, -963, 1068, 373, 1486, -4, 63, 40, 18, 76, -6
46, -890, 956, 398, 1366, 0, 73, 42, 18, 83, -2
47, -792, 952, 360, 1290, 6, 85, 38, 18, 92, 1
48, -726, 928, 309, 1218, 6, 96, 31, 19, 102, 4
49, -621, 878, 279, 1111, 3, 104, 23, 19, 113, 7
50, -491, 880, 247, 1038, 0, 116, 12, 19, 124, 8
51, -425, 899, 284, 1034, -3, 130, -3, 19, 137, 8
52, -344, 899, 317, 1014, 3, 145, -27, 19, 152, 5
53, -465, 937, 393, 1118, 14, 157, -50, 20, 168, 0
54, -700, 995, 430, 1291, 26, 153, -61, 23, 183, -5
55, -713, 1055, 343, 1319, 34, 144, -64, 26, 197, -12
56, -712, 1210, 213, 1420, 32, 151, -59, 29, 213, -18
57, -852, 1375, 200, 1630, 12, 160, -41, 30, 229, -22
58, -1001, 1426, 364, 1780, -17, 150, -6, 28, 244, -22
59, -880, 1357, 533, 1703, -41, 118, 37, 24, 255, -19
60, -508, 1208, 645, 1461, -47, 90, 64, 20, 265, -12
61, -201, 1056, 729, 1299, -35, 89, 67, 17, 273, -6
62, -24, 841, 766, 1137, -2, 105, 55, 17, 284, 0
63, 17, 780, 654, 1018, 37, 130, 41, 20, 297, 3
64, -30, 818, 413, 917, 55, 141, 31, 25, 311, 6
65, -36, 827, 237, 861, 45, 139, 25, 30, 327, 9
66, -33, 809, 158, 825, 32, 136, 20, 33, 340, 11
67, -77, 854, 102, 863, 19, 137, 21, 34, 354, 13
68, -91, 873, 102, 884, 0, 137, 28, 34, 368, 16
69, -2, 851, 161, 866, -19, 138, 38, 33, 381, 20
70, 102, 797, 251, 842, -29, 139, 43, 30, 395, 24
71, 199, 779, 379, 889, -34, 135, 43, 27, 409, 29
72, 345, 749, 457, 943, -30, 134, 33, 24, 422, 32
73, 401, 729, 492, 967, -17, 149, 11, 22, 437, 33
74, 242, 773, 468, 936, 0, 165, -10, 22, 454, 32
75, 64, 870, 392, 957, 6, 168, -21, 23, 471, 30
76, -69, 935, 296, 983, 4, 164, -22, 23, 487, 28
77, -144, 996, 208, 1028, -4, 158, -16, 23, 503, 26
78, -100, 1037, 146, 1052, -19, 158, -7, 21, 519, 25
79, -74, 1067, 250, 1099, -39, 166, -7, 18, 536, 24
80, -106, 1025, 487, 1140, -52, 175, -11, 13, 553, 23
81, -96, 1018, 659, 1217, -41, 186, -9, 9, 572, 22
82, -130, 1057, 747, 1302, -21, 198, -16, 7, 594, 21
83, -229, 1091, 791, 1367, -11, 197, -21, 6, 613, 18
84, -245, 1129, 766, 1386, -6, 193, -21, 5, 633, 16
85, -302, 1187, 763, 1444, -8, 197, -22, 5, 653, 14
86, -450, 1270, 858, 1597, -12, 202, -20, 4, 673, 12
87, -521, 1481, 921, 1821, -17, 198, 0, 2, 693, 12
88, -482, 1347, 846, 1663, -34, 188, 45, 0, 712, 16
89, -131, 1296, 897, 1582, -41, 176, 48, -4, 729, 21
90, -186, 909, 928, 1313, -63, 168, 64, -10, 746, 28
91, 226, 1127, 1070, 1570, -37, 177, 43, -13, 764, 32
92, -180, 910, 1027, 1384, -17, 198, 40, -15, 784, 36
93, -68, 1100, 931, 1443, -13, 179, 50, -16, 802, 41
94, -13, 980, 846, 1295, -19, 174, 52, -17, 819, 47
95, 0, 883, 776, 1175, -19, 166, 54, -19, 836, 52
96, -39, 975, 667, 1182, -16, 147, 64, -21, 850, 58
97, 7, 1020, 502, 1137, -31, 135, 82, -24, 864, 67
98, 229, 1002, 520, 1152, -55, 132, 99, -29, 877, 77
99, 502, 985, 640, 1278, -65, 141, 96, -35, 893, 87
100, 575, 929, 822, 1367, -67, 151, 83, -41, 908, 96
