0, -27, 1028, 75, 1031, 0, -3, -1, 0, 0, 0
1, -56, 983, 115, 992, -2, 4, -3, -3, 7, -4
2, -515, 1081, 104, 1202, 2, 17, -4, 4, 49, -14
3, -355, 1028, 600, 1242, 2, 105, -9, 11, 310, -37
4, -138, 932, 583, 1109, -14, 168, -2, -25, 732, -42
5, -69, 1108, 613, 1269, -24, 190, -13, -86, 1208, -77
6, -132, 882, 846, 1229, -33, 237, -7, -168, 1803, -95
7, -35, 889, 657, 1106, -23, 210, 1, -227, 2326, -90
8, -299, 1054, 745, 1325, -27, 201, -10, -296, 2828, -116
9, 72, 1143, 542, 1267, -28, 181, 5, -366, 3281, -102
10, 55, 1155, 440, 1237, -11, 168, -2, -395, 3698, -109
11, 273, 791, 357, 911, -8, 164, 21, -416, 4110, -56
12, 399, 1056, 99, 1133, -18, 117, 46, -463, 4403, 58
13, 272, 823, 360, 939, 33, 131, -3, -378, 4732, 50
14, -284, 1095, 171, 1144, 25, 162, -42, -314, 5136, -54
15, -292, 1115, 294, 1190, 9, 137, -4, -290, 5481, -65
16, 56, 935, 604, 1114, -23, 178, -11, -348, 5924, -94
17, -101, 1038, 423, 1126, -16, 177, 12, -388, 6369, -62
18, 260, 1109, 187, 1155, -3, 150, -8, -397, 6741, -82
19, -171, 981, 192, 1014, -1, 106, 1, -402, 7008, -78
20, 8, 958, 140, 968, -7, 53, 7, -419, 7142, -60
