0, -22, 1039, 65, 1041, 7, 12, -5, 0, 1, 0
1, 20, 1007, 92, 1012, 1, 7, -5, 0, 1, -1
2, -61, 1096, 25, 1098, -1, 4, -2, 0, 2, -1
3, -59, 1050, 47, 1053, -4, 3, -1, 0, 2, -1
4, -60, 1050, 48, 1053, -7, 0, 0, 0, 2, -1
5, -54, 1062, 60, 1065, -11, -2, 1, -1, 2, -1
6, -46, 1046, 80, 1050, -10, -2, 3, -2, 2, -1
7, -12, 1028, 100, 1033, -7, -3, 2, -3, 1, 0
8, 13, 1034, 107, 1040, -3, -2, 1, -3, 1, 0
9, 27, 1045, 78, 1048, -1, 0, 0, -3, 1, 0
10, 0, 1046, 67, 1048, -2, 4, -1, -3, 2, 0
11, -35, 1057, 59, 1059, -6, 4, 0, -4, 2, 0
12, -56, 1056, 70, 1060, -8, 1, 0, -5, 2, 0
13, -31, 1031, 93, 1035, -8, -2, 1, -6, 2, 0
14, -19, 1027, 104, 1033, -4, -2, 1, -6, 2, 0
15, -23, 1037, 99, 1042, -4, -1, 1, -6, 2, 0
16, -28, 1036, 97, 1041, -3, 0, 1, -7, 2, 0
17, -34, 1029, 78, 1032, 0, 0, 0, -7, 2, 0
18, -42, 1052, 58, 1055, 0, -1, 0, -7, 1, 0
19, -55, 1058, 81, 1062, 0, -5, 1, -7, 1, 0
20, -52, 1063, 143, 1074, -3, -11, 3, -7, 0, 0
21, -30, 1113, 157, 1124, -11, -22, 6, -8, -2, 1
22, -50, 1076, 135, 1085, -24, -40, 8, -10, -6, 2
23, -48, 991, 88, 996, -19, -61, 8, -12, -12, 2
24, 4, 948, 32, 949, -6, -81, 9, -13, -20, 3
25, -1, 966, 29, 966, -15, -100, -14, -14, -30, 2
26, 149, 1017, 2, 1028, 0, -109, -11, -14, -41, 1
27, 93, 1015, -12, 1020, -9, -104, -19, -15, -51, 0
28, 135, 1042, -62, 1053, -27, -76, -21, -17, -59, -2
29, 163, 1063, -2, 1075, -35, -45, -27, -20, -64, -5
30, 84, 1104, 83, 1110, -42, -11, -46, -24, -65, -10
31, -45, 1142, 197, 1160, -56, -8, -48, -29, -66, -15
32, -124, 994, 290, 1043, -51, -17, -51, -34, -67, -20
33, -149, 882, 329, 953, -27, -30, -47, -36, -71, -25
34, -155, 917, 341, 991, -2, -47, -36, -37, -75, -29
35, -155, 1004, 278, 1053, 13, -63, -24, -35, -82, -31
36, -148, 1026, 225, 1061, 20, -74, -18, -34, -89, -33
37, -113, 1045, 156, 1062, 26, -79, -15, -31, -97, -34
38, -98, 1084, 111, 1095, 26, -75, -12, -29, -105, -36
39, -47, 1071, 109, 1077, 18, -67, -12, -27, -112, -37
40, -38, 1064, 121, 1072, 21, -55, -11, -25, -117, -38
41, -108, 1099, 145, 1114, 26, -55, -15, -23, -123, -39
42, -168, 998, 260, 1045, 38, -64, -16, -19, -129, -41
43, -215, 914, 248, 971, 65, -77, -7, -13, -137, -42
44, -146, 1023, 128, 1042, 84, -91, 0, -6, -146, -42
45, -52, 1053, 20, 1054, 81, -91, 5, 1, -155, -41
46, 19, 1141, -40, 1142, 66, -88, 4, 7, -164, -41
47, -16, 1184, -60, 1186, 36, -86, 1, 10, -173, -41
48, -37, 1127, 23, 1128, 18, -104, 3, 11, -183, -40
49, -36, 1040, 65, 1043, 17, -126, -4, 13, -196, -41
50, -49, 991, 46, 993, 15, -137, -3, 15, -211, -41
51, -41, 1051, 28, 1052, 16, -146, -1, 16, -225, -41
52, -4, 1025, 33, 1026, 10, -148, -3, 17, -240, -42
53, 19, 1016, 72, 1019, 7, -139, -7, 18, -254, -42
54, -82, 1074, 10, 1077, 4, -141, -17, 18, -268, -44
55, -224, 886, 61, 916, -9, -146, -2, 17, -283, -44
56, -230, 1044, 110, 1075, -10, -168, 3, 16, -300, -44
57, -244, 1067, 98, 1099, -9, -189, 3, 15, -319, -44
